Racket application,PLT Design Inc.,6.11.0.900,C:\Program Files\Racket\Racket.exe
Racket GUI application,PLT Design Inc.,6.11.0.900,C:\Program Files\Racket\DrRacket.exe
Report Server Configuration Tool,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\RSConfigTool.exe
SQL Server Integration Services Project Conversion Wizard,Microsoft Corporation,11.0.2100.60,C:\Program Files (x86)\Microsoft SQL Server\110\DTS\Binn\ISProjectWizard.exe
LibreOffice Impress,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\simpress.exe
LibreOffice Base,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\sbase.exe
NetLogo 3D 6.0.4,,1.0.0.0,C:\Program Files\NetLogo 6.0.4\NetLogo 3D.exe
Google Chrome,Google LLC,86.0.4240.198,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Unity bug reporting tool,Unity Technologies ApS,2017.2.0.4644257,C:\Program Files\Unity\Editor\BugReporter\unity.bugreporter.exe
Scilab 6.0.1 (NO GUI),Scilab Enterprises,6. 0. 1. 0,C:\Program Files\scilab-6.0.1\bin\Scilex.exe
IEU_Lite,NEC Display Solutions  Ltd.,1. 5. 75. 0,C:\Program Files (x86)\NEC Projector User Supportware\Image Express Utility Lite\IEU_Lite.exe
SQL Server Import and Export Wizard,Microsoft Corporation,12.0.4100.1,C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\DTSWizard.exe
Git for Windows,The Git Development Community,2.17.1.windows.2,C:\Program Files\Git\cmd\git-gui.exe
GNS3 Network simulator,,2.2.15.0,C:\Program Files\GNS3\gns3.exe
Qt Linguist,Digia Plc and/or its subsidiary(-ies),1.0.0.0,C:\Program Files\Cisco Packet Tracer 7.1.1\bin\linguist.exe
SQL Server Management Studio,Microsoft Corporation,11.0.2100.60,C:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\Ssms.exe
Microsoft Office 15 Language Preferences,Microsoft Corporation,16.0.13328.20356,C:\Program Files (x86)\Microsoft Office\root\Office16\SETLANG.EXE
Setup/Uninstall,,51.1052.0.0,C:\Program Files (x86)\K-Lite Codec Pack\Tools\CodecTweakTool.exe
LibreOffice Writer,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\swriter.exe
Notepad++ : a free (GNU) source code editor,Don HO don.h@free.fr,7.56,C:\Program Files (x86)\Notepad++\notepad++.exe
NetLogo 6.0.4,,1.0.0.0,C:\Program Files\NetLogo 6.0.4\NetLogo.exe
Foxit Reader 9.7,Foxit Software Inc.,9.7.1.29511,C:\Program Files (x86)\Foxit Software\Foxit Reader\FoxitReader.exe
AviTice School for Windows SchDesigner,NetSupport Ltd,V12.10,C:\Program Files (x86)\AviTice\AviTice Remote Manager\schdesigner.exe
Scribus 1.4.7,The Scribus Team,1.4.7,C:\Program Files (x86)\Scribus 1.4.7\Scribus.exe
PDFCreator,pdfforge,3.2.1.13159-14d453,C:\Program Files\PDFCreator\PDFCreator.exe
SQL Server Management Studio,Microsoft Corporation,12.0.2000.8,C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\Ssms.exe
GraphStudioNext,,0.7.1.32,C:\Program Files (x86)\K-Lite Codec Pack\Tools\GraphStudioNext64.exe
ROBOTC Integrated Development Environment,Robomatter Inc.,3.62.0.5400,C:\Program Files (x86)\Robomatter Inc\ROBOTC Development Environment\RobotC.exe
GanttProject,,0.0.0.0,C:\Program Files (x86)\GanttProject-2.8\ganttproject.exe
Microsoft Office component,Microsoft Corporation,16.0.13328.20356,C:\Program Files (x86)\Microsoft Office\root\Office16\msoadfsb.exe
Java(TM) Web Start Launcher,Oracle Corporation,8.0.2210.11,C:\Program Files (x86)\Java\jre1.8.0_221\bin\javaws.exe
Eclipse-Mars-X86-Robot-Lego,,0.0.0.0,D:\Applications_Portable_NE_PAS_EFFACER\eclipse-mars-x86-pour-robot-lego\eclipse.exe
Scilab 6.0.1 (GUI),Scilab Enterprises,6. 0. 1. 0,C:\Program Files\scilab-6.0.1\bin\WScilex-cli.exe
Microsoft Office Upload Center,Microsoft Corporation,16.0.13328.20356,C:\Program Files (x86)\Microsoft Office\root\Office16\MSOUC.EXE
LibreOffice Draw,The Document Foundation,6.4.6.2,C:\Program Files\LibreOffice\program\sdraw.exe
Freeplane,,0.0.0.0,C:\Program Files\Freeplane\freeplane.exe
Internet Explorer,Microsoft Corporation,11.00.19041.1,C:\Program Files\Internet Explorer\iexplore.exe
PhpStorm,JetBrains s.r.o.,2020.2.1.PS-202.6948.87,C:\Program Files\JetBrains\PhpStorm 2020.2.1\bin\phpstorm64.exe
Visual Studio Installer,Microsoft Corporation,1.18.1036,C:\Program Files (x86)\Microsoft Visual Studio\Installer\vs_installer.exe
Microsoft Visual Studio 2017,Microsoft Corporation,15.9.28307.145,C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\Common7\IDE\devenv.exe
SQL Server 2008 Reporting Services Configuration Manager,Microsoft Corporation,11.0.2100.60,C:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\RSConfigTool.exe
Microsoft Office Client Virtualization Handler,Microsoft Corporation,14.0.7147.5000,C:\Program Files (x86)\Common Files\Microsoft Shared\Virtualization Handler\CVH.EXE
Wireshark,The Wireshark developer community  https://www.wireshark.org/,3.2.4,C:\Program Files\Wireshark\Wireshark.exe
Microsoft Visio,Microsoft Corporation,16.0.13328.20356,C:\Program Files (x86)\Microsoft Office\root\Office16\VISIO.EXE
QuickTime Player,Apple Inc.,QuickTime 7.7.9 (1680.95.84),C:\Program Files (x86)\QuickTime\QuickTimePlayer.exe
Audacity® Cross-Platform Sound Editor,Audacity Team,2.2.2.0,C:\Program Files (x86)\Audacity\audacity.exe
Eclipse Photon,,0.0.0.0,D:\Applications_Portable_NE_PAS_EFFACER\eclipse-jee-photon-R-win32-x86_64\eclipse4POO\eclipse.exe
MediaInfo,,0.0.0.0,C:\Program Files (x86)\K-Lite Codec Pack\Tools\mediainfo.exe
mad* home cinema control,madshi.net,1.1.20.11,C:\Program Files (x86)\K-Lite Codec Pack\Filters\madVR\madHcCtrl.exe
Git for Windows,The Git Development Community,2.17.1.windows.2,C:\Program Files\Git\git-cmd.exe
GNU Image Manipulation Program,Spencer Kimball  Peter Mattis and the GIMP Development Team,2.10.2,C:\Program Files\GIMP 2\bin\gimp-2.10.exe
Microsoft Project,Microsoft Corporation,16.0.13328.20356,C:\Program Files (x86)\Microsoft Office\root\Office16\WINPROJ.EXE
Microsoft (R) Contacts Import Tool,Microsoft Corporation,10.0.19041.1,C:\Program Files (x86)\Windows Mail\wabmig.exe
Microsoft Office SDX Helper,Microsoft Corporation,16.0.13328.20356,C:\Program Files (x86)\Microsoft Office\root\Office16\SDXHelper.exe
FreeMind is a premier free mind-mapping software written in Java.,,FreeMind,C:\Program Files (x86)\FreeMind\FreeMind.exe
Blend for Visual Studio,Microsoft Corporation,15.9.28307.145,C:\Program Files (x86)\Microsoft Visual Studio\2017\Professional\Common7\IDE\Blend.exe
